Variable,Variable selection frequency,Variable selection frequency under permutation,Variable Retained?
L_11l_ROI,100,2.836879433,TRUE
L_7PC_ROI,100,2.515002728,TRUE
L_MST_ROI,100,2.900163666,TRUE
L_p10p_ROI,100,2.177304965,TRUE
R_FFC_ROI,100,2.259683579,TRUE
R_FOP2_ROI,100,2.263502455,TRUE
L_STSdp_ROI,99.94544463,2.604473541,TRUE
R_TE2p_ROI,99.89088925,2.578286961,TRUE
L_LBelt_ROI,99.34533552,2.750681942,TRUE
L_a24pr_ROI,99.29078014,2.024549918,TRUE
R_7AL_ROI,99.18166939,2.72122204,TRUE
L_d23ab_ROI,95.52645936,2.512820513,TRUE
L_6a_ROI,95.25368249,2.271685761,TRUE
IQ,85.81560284,3.001636661,TRUE
L_24dv_ROI,59.35624659,2.537915985,TRUE
R_V3A_ROI,47.5177305,2.765411893,TRUE
L_V4t_ROI,39.44353519,2.726132024,TRUE
R_LBelt_ROI,33.98799782,1.925259138,TRUE
L_p32_ROI,33.66066558,2.607746863,TRUE
R_PH_ROI,22.96781233,3.062193126,TRUE
R_POS2_ROI,19.96726678,2.45553737,TRUE
R_FOP1_ROI,19.31260229,2.400436443,TRUE
R_RI_ROI,18.22149482,2.389525368,TRUE
L_47m_ROI,15.766503,2.687943262,TRUE
L_s32_ROI,12.22040371,2.588652482,TRUE
L_MT_ROI,11.94762684,2.396617567,TRUE
L_RI_ROI,11.78396072,2.001091107,TRUE
R_OP1_ROI,8.892525914,1.968903437,TRUE
L_PeEc_ROI,6.983087834,2.629569013,TRUE
L_FOP4_ROI,6.655755592,2.665030005,TRUE
R_RSC_ROI,6.219312602,1.886524823,TRUE
R_52_ROI,6.055646481,2.020731042,TRUE
R_7Pm_ROI,5.182760502,2.519367158,TRUE
R_5m_ROI,3.98254228,2.606655756,TRUE
L_PGp_ROI,3.491543917,2.58101473,FALSE
R_TE1a_ROI,3.218767049,2.447899618,FALSE
R_FST_ROI,2.291325696,2.376432079,FALSE
R_47m_ROI,1.963993453,2.250954719,FALSE
L_13l_ROI,1.745771959,2.963993453,FALSE
L_PFm_ROI,1.745771959,2.353518822,FALSE
L_POS1_ROI,1.745771959,2.737043099,FALSE
L_PoI2_ROI,1.636661211,2.425531915,FALSE
R_LIPv_ROI,1.254773595,2.599018003,FALSE
R_V6A_ROI,1.145662848,2.496453901,FALSE
L_LO1_ROI,1.0365521,2.608292417,FALSE
R_TE1p_ROI,1.0365521,2.582651391,FALSE
R_V3B_ROI,1.0365521,2.320240044,FALSE
R_31a_ROI,0.981996727,2.681396618,FALSE
R_TF_ROI,0.981996727,2.629023459,FALSE
R_ProS_ROI,0.872885979,1.998908893,FALSE
R_p24pr_ROI,0.654664484,2.290780142,FALSE
L_TPOJ2_ROI,0.545553737,2.746317512,FALSE
R_STSda_ROI,0.545553737,2.559738134,FALSE
L_IFJp_ROI,0.43644299,2.303873432,FALSE
L_VMV1_ROI,0.43644299,2.637752319,FALSE
L_46_ROI,0.381887616,2.462084015,FALSE
R_SFL_ROI,0.381887616,2.47299509,FALSE
R_AVI_ROI,0.327332242,2.889252591,FALSE
L_10r_ROI,0.272776869,1.94162575,FALSE
L_31pv_ROI,0.272776869,2.599018003,FALSE
L_Ig_ROI,0.272776869,2.889252591,FALSE
L_VIP_ROI,0.272776869,2.701036552,FALSE
R_s32_ROI,0.272776869,2.035460993,FALSE
L_i6.8_ROI,0.218221495,2.584288052,FALSE
L_PFop_ROI,0.218221495,2.934533552,FALSE
L_7Pm_ROI,0.163666121,3.048554283,FALSE
L_FOP1_ROI,0.163666121,2.58101473,FALSE
L_PHA2_ROI,0.163666121,2.390070922,FALSE
L_STGa_ROI,0.163666121,3.037097654,FALSE
L_STSvp_ROI,0.163666121,2.591925805,FALSE
R_6r_ROI,0.163666121,2.554828151,FALSE
R_8BL_ROI,0.163666121,2.082924168,FALSE
R_TA2_ROI,0.163666121,2.53573377,FALSE
L_6d_ROI,0.109110747,1.860883797,FALSE
L_TE2a_ROI,0.109110747,2.546644845,FALSE
R_a24pr_ROI,0.109110747,2.052918712,FALSE
R_IFJp_ROI,0.109110747,2.593016912,FALSE
R_MBelt_ROI,0.109110747,1.773595199,FALSE
R_TPOJ1_ROI,0.109110747,2.403164212,FALSE
L_a24_ROI,0.054555374,2.570103655,FALSE
L_IFSa_ROI,0.054555374,2.385706492,FALSE
L_LO2_ROI,0.054555374,2.706492089,FALSE
L_LO3_ROI,0.054555374,2.266775777,FALSE
L_p47r_ROI,0.054555374,2.879432624,FALSE
L_PF_ROI,0.054555374,1.897435897,FALSE
L_TGv_ROI,0.054555374,2.48172395,FALSE
R_31pv_ROI,0.054555374,2.831423895,FALSE
R_a10p_ROI,0.054555374,2.47299509,FALSE
R_PBelt_ROI,0.054555374,2.201309329,FALSE
R_POS1_ROI,0.054555374,2.560283688,FALSE
R_V4t_ROI,0.054555374,2.571194763,FALSE
Age_Visit2,0,2.088925259,FALSE
L_1_ROI,0,1.860883797,FALSE
L_10d_ROI,0,2.102018549,FALSE
L_10pp_ROI,0,2.659574468,FALSE
L_10v_ROI,0,2.397708674,FALSE
L_2_ROI,0,2.424440807,FALSE
L_23c_ROI,0,1.897435897,FALSE
L_23d_ROI,0,2.414075286,FALSE
L_24dd_ROI,0,2.332242226,FALSE
L_25_ROI,0,2.057283142,FALSE
L_31a_ROI,0,2.705946536,FALSE
L_31pd_ROI,0,2.253136934,FALSE
L_33pr_ROI,0,3.024549918,FALSE
L_3a_ROI,0,1.656301146,FALSE
L_3b_ROI,0,2.066557556,FALSE
L_4_ROI,0,1.795417349,FALSE
L_43_ROI,0,2.557010366,FALSE
L_44_ROI,0,2.019094381,FALSE
L_45_ROI,0,2.14457174,FALSE
L_47l_ROI,0,2.434806328,FALSE
L_47s_ROI,0,2.321876705,FALSE
L_52_ROI,0,2.470267321,FALSE
L_55b_ROI,0,2.597381342,FALSE
L_5L_ROI,0,2.303873432,FALSE
L_5m_ROI,0,2.603382433,FALSE
L_5mv_ROI,0,2.346972177,FALSE
L_6ma_ROI,0,2.441352973,FALSE
L_6mp_ROI,0,2.326786688,FALSE
L_6r_ROI,0,2.503000546,FALSE
L_6v_ROI,0,1.772504092,FALSE
L_7AL_ROI,0,2.082924168,FALSE
L_7Am_ROI,0,2.617021277,FALSE
L_7m_ROI,0,2.588652482,FALSE
L_7PL_ROI,0,2.255319149,FALSE
L_8Ad_ROI,0,2.665030005,FALSE
L_8Av_ROI,0,2.582105837,FALSE
L_8BL_ROI,0,1.887070376,FALSE
L_8BM_ROI,0,1.922531369,FALSE
L_8C_ROI,0,2.840152755,FALSE
L_9.46d_ROI,0,2.327877796,FALSE
L_9a_ROI,0,2.450081833,FALSE
L_9m_ROI,0,2.645390071,FALSE
L_9p_ROI,0,1.813966176,FALSE
