i,Mean.i,SD.i,Value,Obs.Num,R.i+1,lambda.i+1,Outlier,region,
0,0.021382468,0.016440252,0.247002703,110,13.72364856,3.774424662,TRUE,R_Pir_ROI,
1,0.020754,0.011333555,0.138839641,166,10.41911792,3.773657827,TRUE,R_pOFC_ROI,
2,0.020424151,0.009467878,0.077123891,299,5.98864257,3.772888573,TRUE,L_PreS_ROI,
3,0.020265329,0.008990924,0.073015207,290,5.867014002,3.772116885,TRUE,L_Pir_ROI,
4,0.020117155,0.008555948,0.068949003,119,5.70735697,3.771342747,TRUE,R_PreS_ROI,
5,0.0199796,0.008164315,0.060090547,346,4.912959126,3.770566146,TRUE,L_pOFC_ROI,
6,0.019866293,0.007891403,0.053205818,118,4.224790712,3.769787067,TRUE,R_EC_ROI,
7,0.019771846,0.007699641,0.05233598,164,4.229305476,3.769005493,TRUE,R_25_ROI,
8,0.019679335,0.007511567,0.051815166,300,4.278179339,3.768221409,TRUE,L_H_ROI,
9,0.019587779,0.007322967,0.049625601,120,4.10186505,3.767434801,TRUE,R_H_ROI,
10,0.019501957,0.007154496,0.049109453,298,4.13830659,3.766645651,TRUE,L_EC_ROI,
11,0.019417122,0.006986251,0.043387036,112,3.431012522,3.765853945,FALSE,R_AAIC_ROI,
12,0.019348243,0.006876614,0.042507727,238,3.367861688,3.765059667,FALSE,L_33pr_ROI,
13,0.019281501,0.006772728,0.042451913,103,3.421134498,3.7642628,FALSE,R_52_ROI,
14,0.019214534,0.006666495,0.041439246,344,3.333792447,3.763463328,FALSE,L_25_ROI,
15,0.019150115,0.006567444,0.040049223,306,3.182228433,3.762661234,FALSE,L_PHA1_ROI,
16,0.019089362,0.006479196,0.039685646,246,3.178833376,3.761856503,FALSE,L_47m_ROI,
17,0.019029314,0.006392084,0.039119914,173,3.14304356,3.761049117,FALSE,R_MBelt_ROI,
18,0.01897057,0.006308045,0.036907898,152,2.843563891,3.76023906,FALSE,R_V6A_ROI,
19,0.018917968,0.006241744,0.036528124,121,2.821351816,3.759426314,FALSE,R_ProS_ROI,
20,0.018866173,0.006177119,0.036095706,292,2.78925042,3.758610863,FALSE,L_AAIC_ROI,
21,0.018815348,0.00611464,0.035551704,358,2.73709555,3.757792688,FALSE,L_PI_ROI,
22,0.018765833,0.006055257,0.034663233,182,2.625388057,3.756971773,FALSE,L_MST_ROI,
23,0.018718659,0.006001739,0.034275483,228,2.592052735,3.7561481,FALSE,L_LIPv_ROI,
24,0.018672359,0.00595011,0.034233443,66,2.61525971,3.755321651,FALSE,R_47m_ROI,
25,0.018625908,0.005897682,0.034089939,353,2.622052291,3.754492408,FALSE,L_MBelt_ROI,
26,0.018579609,0.00584524,0.033712292,191,2.588889883,3.753660352,FALSE,L_PEF_ROI,
27,0.018534165,0.005794646,0.033664869,153,2.611152468,3.752825466,FALSE,R_VMV1_ROI,
28,0.018488591,0.005743311,0.033426243,203,2.600878178,3.75198773,FALSE,L_MT_ROI,
29,0.018443462,0.005692748,0.033352219,174,2.618903638,3.751147126,FALSE,R_LBelt_ROI,
30,0.018398284,0.005641652,0.033344283,283,2.649223936,3.750303636,FALSE,L_52_ROI,
31,0.018352855,0.005589468,0.032491432,126,2.529502972,3.74945724,FALSE,R_PHA1_ROI,
32,0.01830975,0.00554297,0.031895646,58,2.45101372,3.748607918,FALSE,R_33pr_ROI,
33,0.018268203,0.005500077,0.031872756,16,2.473520339,3.747755652,FALSE,R_V7_ROI,
34,0.018226471,0.005456436,0.031736804,332,2.476036179,3.746900421,FALSE,L_V6A_ROI,
35,0.018184901,0.0054129,0.031305091,165,2.423874356,3.746042206,FALSE,R_s32_ROI,
36,0.018144406,0.005371742,0.031223968,293,2.434882545,3.745180987,FALSE,L_FOP1_ROI,
37,0.018103912,0.005330319,0.030964651,333,2.412752256,3.744316743,FALSE,L_VMV1_ROI,
38,0.018063972,0.005289986,0.030500838,154,2.351020777,3.743449455,FALSE,R_VMV3_ROI,
39,0.018025228,0.005252288,0.030261422,354,2.329688219,3.7425791,FALSE,L_LBelt_ROI,
40,0.01798699,0.005215572,0.030137409,335,2.329642928,3.741705659,FALSE,L_PHA2_ROI,
41,0.017948901,0.005178998,0.029490097,204,2.228461314,3.740829111,FALSE,L_A1_ROI,
42,0.017912608,0.00514637,0.029275007,187,2.207847341,3.739949434,FALSE,L_V8_ROI,
43,0.017876764,0.005114596,0.029243139,194,2.222340768,3.739066606,FALSE,L_RSC_ROI,
44,0.017840795,0.005082391,0.029024217,22,2.200425445,3.738180607,FALSE,R_PIT_ROI,
45,0.017805292,0.005051078,0.028952291,11,2.206855588,3.737291413,FALSE,R_PEF_ROI,
46,0.017769792,0.005019627,0.028833872,274,2.204163962,3.736399003,FALSE,L_47s_ROI,
47,0.017734443,0.004988367,0.02882089,95,2.222460052,3.735503355,FALSE,R_LIPd_ROI,
48,0.01769891,0.004956546,0.028684044,14,2.21628837,3.734604445,FALSE,R_RSC_ROI,
49,0.017663588,0.004925046,0.028160918,2,2.131417832,3.733702251,FALSE,R_MST_ROI,
50,0.017629725,0.004896612,0.027991252,46,2.11606046,3.73279675,FALSE,R_7PL_ROI,
51,0.017596193,0.004868773,0.027916911,127,2.119778082,3.731887919,FALSE,R_PHA3_ROI,
52,0.017562684,0.004840876,0.027822759,178,2.119466764,3.730975734,FALSE,R_PI_ROI,
53,0.017529264,0.004813057,0.027747954,92,2.123118328,3.730060171,FALSE,R_13l_ROI,
54,0.017495869,0.004785184,0.027736754,301,2.140123229,3.729141205,FALSE,L_ProS_ROI,
55,0.017462293,0.004756805,0.027722941,345,2.157046295,3.728218814,FALSE,L_s32_ROI,
56,0.017428541,0.004727924,0.027719299,155,2.176591188,3.727292972,FALSE,R_PHA2_ROI,
57,0.017394578,0.004698454,0.027633018,24,2.17910856,3.726363654,FALSE,R_A1_ROI,
58,0.017360676,0.004668982,0.027629366,340,2.199342362,3.725430835,FALSE,L_VMV2_ROI,
59,0.01732656,0.004638901,0.007651143,69,2.085713211,3.72449449,FALSE,R_9m_ROI,
60,0.017358812,0.004612726,0.026981925,48,2.086209565,3.723554594,FALSE,R_LIPv_ROI,
61,0.017326627,0.004586595,0.026795534,334,2.064474121,3.722611119,FALSE,L_VMV3_ROI,
62,0.017294853,0.004561226,0.007881758,185,2.063720268,3.721664041,FALSE,L_V3_ROI,
63,0.017326546,0.004535936,0.026704043,29,2.067378341,3.720713332,FALSE,R_7Pm_ROI,
64,0.017294866,0.004510583,0.026518255,94,2.044833008,3.719758966,FALSE,R_47s_ROI,
65,0.0172636,0.004486003,0.026486691,23,2.055970609,3.718800916,FALSE,R_MT_ROI,
66,0.017232229,0.00446112,0.026358278,287,2.045685343,3.717839155,FALSE,L_TA2_ROI,
67,0.017201082,0.004436615,0.026306415,229,2.052315173,3.716873654,FALSE,L_VIP_ROI,
68,0.017169899,0.004411952,0.008192811,329,2.034720379,3.715904385,FALSE,L_PFm_ROI,
69,0.017200748,0.004387892,0.026075744,196,2.022610461,3.714931322,FALSE,L_V7_ROI,
70,0.017170145,0.004364256,0.025947297,284,2.011144965,3.713954434,FALSE,L_RI_ROI,
